DATE,A067RL1Q156SBEA
1/1/86,5.4
4/1/86,5.2
7/1/86,2.6
10/1/86,0.6
1/1/87,3.7
4/1/87,-3.7
7/1/87,7.4
10/1/87,5.5
1/1/88,6
4/1/88,4.2
7/1/88,3.9
10/1/88,3.8
1/1/89,4.6
4/1/89,-1.2
7/1/89,2.7
10/1/89,3.4
1/1/90,3.1
4/1/90,2.8
7/1/90,-0.1
10/1/90,-3.4
1/1/91,1
4/1/91,3
7/1/91,1.6
10/1/91,3.4
1/1/92,8.3
4/1/92,4
7/1/92,1.9
10/1/92,1.8
1/1/93,1.5
4/1/93,1.2
7/1/93,0.3
10/1/93,2.8
1/1/94,2.7
4/1/94,4.1
7/1/94,2.4
10/1/94,5.9
1/1/95,3.5
4/1/95,1.1
7/1/95,3.7
10/1/95,2.4
1/1/96,3.8
4/1/96,3.7
7/1/96,3.3
10/1/96,2.1
1/1/97,3.9
4/1/97,3.6
7/1/97,4.8
10/1/97,6
1/1/98,8.7
4/1/98,5.6
7/1/98,4.1
10/1/98,3.2
1/1/99,3.7
4/1/99,0.9
7/1/99,2.8
10/1/99,6.1
1/1/00,7.9
4/1/00,4.5
7/1/00,4.7
10/1/00,1.4
1/1/01,3.7
4/1/01,-0.7
7/1/01,9.6
10/1/01,-5
1/1/02,9.3
4/1/02,2.7
7/1/02,-0.3
10/1/02,2.4
1/1/03,0.9
4/1/03,5
7/1/03,6.9
10/1/03,1.1
1/1/04,1.9
4/1/04,4.7
7/1/04,2.6
10/1/04,5.1
1/1/05,-4.6
4/1/05,3.9
7/1/05,1.2
10/1/05,5.2
1/1/06,8
4/1/06,1
7/1/06,1
10/1/06,5.4
1/1/07,3.5
4/1/07,1
7/1/07,0.4
10/1/07,0.3
1/1/08,1.1
4/1/08,7.5
7/1/08,-8.1
10/1/08,3.5
1/1/09,-1.7
4/1/09,4.4
7/1/09,-4.4
10/1/09,-0.1
1/1/10,2.3
4/1/10,6.8
7/1/10,2.9
10/1/10,2.3
1/1/11,4.1
4/1/11,-0.9
7/1/11,1.8
10/1/11,1.2
1/1/12,7.7
4/1/12,3.7
7/1/12,-2.8
10/1/12,11.6
1/1/13,-15.1
4/1/13,3
7/1/13,1.7
10/1/13,1.6
1/1/14,6.2
4/1/14,4.9
7/1/14,4.5
10/1/14,5
1/1/15,5
4/1/15,3.1
7/1/15,3.4
10/1/15,0.9
1/1/16,2.7
4/1/16,-0.6
7/1/16,1.5
10/1/16,2.7
1/1/17,4.5
4/1/17,2.2
7/1/17,2.2
10/1/17,2.3
1/1/18,4.4
4/1/18,1.8
7/1/18,2.6
10/1/18,4.3
1/1/19,2.4