DATE,PSAVERT
1/1/86,8.6
2/1/86,9.3
3/1/86,9.9
4/1/86,9.7
5/1/86,9.3
6/1/86,9.4
7/1/86,9.3
8/1/86,9
9/1/86,7.2
10/1/86,8.4
11/1/86,8.8
12/1/86,7
1/1/87,9.7
2/1/87,8.5
3/1/87,8.5
4/1/87,4.5
5/1/87,8.2
6/1/87,7.7
7/1/87,7.5
8/1/87,7.2
9/1/87,7.6
10/1/87,8.3
11/1/87,8.5
12/1/87,8.7
1/1/88,8.1
2/1/88,8.6
3/1/88,8.2
4/1/88,8.8
5/1/88,8.4
6/1/88,8.4
7/1/88,8.6
8/1/88,8.4
9/1/88,8.9
10/1/88,8.6
11/1/88,8.4
12/1/88,8.3
1/1/89,8.5
2/1/89,9
3/1/89,9.5
4/1/89,8.4
5/1/89,8.1
6/1/89,8.2
7/1/89,8.2
8/1/89,7.6
9/1/89,8.1
10/1/89,8.5
11/1/89,8.6
12/1/89,7.8
1/1/90,8
2/1/90,8.6
3/1/90,8.3
4/1/90,8.8
5/1/90,8.7
6/1/90,8.6
7/1/90,8.7
8/1/90,8.1
9/1/90,8.1
10/1/90,7.8
11/1/90,7.9
12/1/90,8.8
1/1/91,9.3
2/1/91,8.8
3/1/91,8
4/1/91,8.6
5/1/91,8.4
6/1/91,8.9
7/1/91,8.2
8/1/91,8.6
9/1/91,8.8
10/1/91,9.3
11/1/91,9
12/1/91,9.7
1/1/92,9.4
2/1/92,9.8
3/1/92,9.7
4/1/92,9.9
5/1/92,9.9
6/1/92,10.1
7/1/92,9.6
8/1/92,9.7
9/1/92,8.7
10/1/92,8
11/1/92,8
12/1/92,10.6
1/1/93,8.6
2/1/93,8.9
3/1/93,8.9
4/1/93,8.7
5/1/93,8.3
6/1/93,7.8
7/1/93,7.6
8/1/93,7.7
9/1/93,6.9
10/1/93,6.3
11/1/93,6.3
12/1/93,9.1
1/1/94,7.1
2/1/94,6.5
3/1/94,6.8
4/1/94,6.4
5/1/94,7.6
6/1/94,6.9
7/1/94,7
8/1/94,6.5
9/1/94,6.8
10/1/94,7.1
11/1/94,7
12/1/94,7.2
1/1/95,7.5
2/1/95,7.8
3/1/95,7.5
4/1/95,6.9
5/1/95,7.1
6/1/95,6.7
7/1/95,7.1
8/1/95,6.7
9/1/95,6.8
10/1/95,7.1
11/1/95,6.6
12/1/95,6.1
1/1/96,6.7
2/1/96,6.7
3/1/96,6.6
4/1/96,5.7
5/1/96,6.7
6/1/96,7.1
7/1/96,6.7
8/1/96,6.6
9/1/96,6.7
10/1/96,6.4
11/1/96,6.4
12/1/96,6.4
1/1/97,6.2
2/1/97,6.2
3/1/97,6.4
4/1/97,6.5
5/1/97,6.8
6/1/97,6.6
7/1/97,6.1
8/1/97,6
9/1/97,6.2
10/1/97,6.2
11/1/97,6.4
12/1/97,6.4
1/1/98,7.4
2/1/98,7.4
3/1/98,7.5
4/1/98,7.2
5/1/98,6.9
6/1/98,6.8
7/1/98,6.9
8/1/98,6.8
9/1/98,6.4
10/1/98,6.2
11/1/98,6.3
12/1/98,5.8
1/1/99,6.4
2/1/99,6.2
3/1/99,5.9
4/1/99,5.2
5/1/99,4.9
6/1/99,4.8
7/1/99,4.8
8/1/99,4.7
9/1/99,4.2
10/1/99,4.6
11/1/99,4.8
12/1/99,4.4
1/1/00,5.4
2/1/00,4.8
3/1/00,4.5
4/1/00,5
5/1/00,4.9
6/1/00,4.9
7/1/00,5.2
8/1/00,5.2
9/1/00,4.5
10/1/00,4.6
11/1/00,4.5
12/1/00,4.2
1/1/01,4.8
2/1/01,4.9
3/1/01,5.3
4/1/01,5
5/1/01,4.5
6/1/01,4.5
7/1/01,5.6
8/1/01,6.8
9/1/01,7
10/1/01,3.4
11/1/01,4.1
12/1/01,4.5
1/1/02,6.1
2/1/02,5.8
3/1/02,5.9
4/1/02,5.8
5/1/02,6.5
6/1/02,6.4
7/1/02,5.5
8/1/02,5.4
9/1/02,5.7
10/1/02,5.7
11/1/02,5.7
12/1/02,5.5
1/1/03,5.5
2/1/03,5.6
3/1/03,5.3
4/1/03,5.3
5/1/03,5.8
6/1/03,5.6
7/1/03,6.3
8/1/03,6
9/1/03,5.2
10/1/03,5.3
11/1/03,5.4
12/1/03,5.4
1/1/04,5
2/1/04,5
3/1/04,4.9
4/1/04,5.3
5/1/04,5.3
6/1/04,5.8
7/1/04,5.3
8/1/04,5.2
9/1/04,4.6
10/1/04,4.5
11/1/04,4.1
12/1/04,6.9
1/1/05,3.7
2/1/05,3.4
3/1/05,3.6
4/1/05,3.1
5/1/05,3.5
6/1/05,2.9
7/1/05,2.2
8/1/05,2.7
9/1/05,2.7
10/1/05,3.1
11/1/05,3.5
12/1/05,3.7
1/1/06,4.2
2/1/06,4.2
3/1/06,4.2
4/1/06,4
5/1/06,3.8
6/1/06,4
7/1/06,3.4
8/1/06,3.6
9/1/06,3.6
10/1/06,3.6
11/1/06,3.9
12/1/06,3.7
1/1/07,3.7
2/1/07,4.1
3/1/07,4.4
4/1/07,4.2
5/1/07,4
6/1/07,3.8
7/1/07,3.7
8/1/07,3.4
9/1/07,3.5
10/1/07,3.4
11/1/07,3.1
12/1/07,3.6
1/1/08,3.7
2/1/08,4.1
3/1/08,4
4/1/08,3.4
5/1/08,7.8
6/1/08,5.5
7/1/08,4.4
8/1/08,3.8
9/1/08,4.7
10/1/08,5.5
11/1/08,6.4
12/1/08,6.4
1/1/09,6.2
2/1/09,5.5
3/1/09,5.9
4/1/09,6.8
5/1/09,8.2
6/1/09,6.7
7/1/09,6
8/1/09,4.9
9/1/09,5.9
10/1/09,5.4
11/1/09,5.9
12/1/09,5.9
1/1/10,6.1
2/1/10,5.8
3/1/10,5.7
4/1/10,6.4
5/1/10,7
6/1/10,6.9
7/1/10,6.8
8/1/10,6.9
9/1/10,6.7
10/1/10,6.6
11/1/10,6.6
12/1/10,7.1
1/1/11,7.4
2/1/11,7.6
3/1/11,7
4/1/11,6.9
5/1/11,6.9
6/1/11,7.2
7/1/11,7.3
8/1/11,7.2
9/1/11,6.8
10/1/11,6.8
11/1/11,7
12/1/11,7.8
1/1/12,8
2/1/12,8
3/1/12,8.5
4/1/12,8.7
5/1/12,8.8
6/1/12,9.1
7/1/12,8.2
8/1/12,8
9/1/12,8.2
10/1/12,8.8
11/1/12,9.7
12/1/12,12
1/1/13,6.3
2/1/13,5.8
3/1/13,5.9
4/1/13,6.4
5/1/13,6.7
6/1/13,6.8
7/1/13,6.6
8/1/13,6.7
9/1/13,6.8
10/1/13,6.3
11/1/13,6.2
12/1/13,6.4
1/1/14,7.1
2/1/14,7.3
3/1/14,7.4
4/1/14,7.4
5/1/14,7.4
6/1/14,7.4
7/1/14,7.5
8/1/14,7.2
9/1/14,7.4
10/1/14,7.2
11/1/14,7.3
12/1/14,7.6
1/1/15,7.7
2/1/15,7.9
3/1/15,7.4
4/1/15,7.6
5/1/15,7.5
6/1/15,7.6
7/1/15,7.6
8/1/15,7.7
9/1/15,7.7
10/1/15,7.6
11/1/15,7.2
12/1/15,7.3
1/1/16,7.7
2/1/16,7.2
3/1/16,7.5
4/1/16,7
5/1/16,6.6
6/1/16,6.2
7/1/16,6.4
8/1/16,6.3
9/1/16,6.3
10/1/16,6.4
11/1/16,6.4
12/1/16,6.3
1/1/17,6.7
2/1/17,7.2
3/1/17,7
4/1/17,6.7
5/1/17,6.9
6/1/17,6.6
7/1/17,6.7
8/1/17,6.8
9/1/17,6.6
10/1/17,6.5
11/1/17,6.2
12/1/17,6.2
1/1/18,7
2/1/18,7.4
3/1/18,7.2
4/1/18,6.8
5/1/18,6.6
6/1/18,6.5
7/1/18,6.4
8/1/18,6.4
9/1/18,6.4
10/1/18,6.4
11/1/18,6.2
12/1/18,7.7
1/1/19,7.2
2/1/19,7.3
3/1/19,6.5