,Date,recession,debt,color,stocks,restaurant,portfolio,inflation,housing,dow jones,revenue,economics,credit,markets,return,unemployment,money,religion,cancer,growth,investment,hedge,marriage,bonds,derivatives,headlines,profit,society,ring,wall street,banks,greed,bribery,insider trading,bankruptcy,recession.1,debt.1,color.1,stocks.1,restaurant.1,portfolio.1,inflation.1,housing.1,dow jones.1,revenue.1,economics.1,credit.1,markets.1,return.1,unemployment.1,money.1,religion.1,cancer.1,growth.1,investment.1,hedge.1,marriage.1,bonds.1,derivatives.1,headlines.1,profit.1,society.1,ring.1,wall street.1,banks.1,greed.1,bribery.1,insider trading.1,bankruptcy.1
0,6/15/14,0.0,6.0,48.0,4.0,62.0,2.0,4.0,40.0,6.0,14.0,1.0,80.0,2.0,11.0,10.0,76.0,8.0,47.0,13.0,9.0,3.0,23.0,6.0,5.0,14.0,71.0,46.0,60.0,14.0,35.0,1.0,2.0,3.0,57.0,3.0,26.0,30.0,8.0,42.0,3.0,10.0,20.0,3.0,10.0,5.0,53.0,7.0,15.0,62.0,13.0,3.0,13.0,1.0,1.0,1.0,10.0,1.0,5.0,14.0,27.0,15.0,12.0,23.0,34.0,3.0,10.0,10.0,18.0
1,6/22/14,0.0,6.0,49.0,4.0,62.0,2.0,4.0,40.0,6.0,14.0,1.0,81.0,2.0,11.0,10.0,78.0,8.0,46.0,14.0,9.0,4.0,26.0,6.0,5.0,13.0,71.0,43.0,59.0,14.0,31.0,1.0,2.0,2.0,60.0,1.0,16.0,30.0,15.0,38.0,1.0,3.0,18.0,1.0,7.0,3.0,62.0,6.0,14.0,58.0,11.0,2.0,13.0,1.0,1.0,0.0,25.0,1.0,4.0,13.0,17.0,14.0,14.0,22.0,18.0,1.0,9.0,2.0,16.0
2,6/29/14,0.0,5.0,48.0,4.0,64.0,2.0,4.0,38.0,6.0,12.0,1.0,82.0,2.0,11.0,10.0,84.0,9.0,42.0,13.0,8.0,3.0,23.0,6.0,5.0,14.0,68.0,41.0,57.0,13.0,37.0,1.0,2.0,2.0,53.0,5.0,17.0,21.0,11.0,34.0,2.0,3.0,17.0,6.0,7.0,3.0,55.0,12.0,18.0,47.0,12.0,2.0,11.0,1.0,1.0,1.0,11.0,1.0,5.0,16.0,25.0,9.0,15.0,18.0,36.0,1.0,4.0,0.0,10.0
3,7/6/14,0.0,6.0,49.0,4.0,64.0,2.0,4.0,42.0,6.0,14.0,1.0,85.0,2.0,11.0,10.0,80.0,9.0,43.0,14.0,9.0,3.0,24.0,6.0,6.0,15.0,75.0,44.0,57.0,14.0,32.0,1.0,2.0,3.0,61.0,1.0,15.0,23.0,13.0,41.0,3.0,3.0,17.0,3.0,6.0,3.0,48.0,4.0,17.0,56.0,10.0,2.0,12.0,1.0,1.0,1.0,9.0,1.0,4.0,14.0,19.0,10.0,11.0,19.0,22.0,0.0,4.0,4.0,20.0
4,7/13/14,0.0,6.0,52.0,4.0,68.0,2.0,4.0,42.0,7.0,15.0,1.0,86.0,2.0,11.0,10.0,78.0,9.0,46.0,14.0,9.0,4.0,24.0,6.0,6.0,14.0,72.0,44.0,59.0,14.0,31.0,1.0,1.0,2.0,62.0,2.0,21.0,15.0,15.0,36.0,1.0,6.0,17.0,6.0,5.0,5.0,50.0,5.0,15.0,44.0,12.0,2.0,11.0,1.0,1.0,1.0,10.0,1.0,4.0,6.0,11.0,39.0,9.0,23.0,15.0,3.0,4.0,6.0,14.0
5,7/20/14,0.0,6.0,51.0,4.0,70.0,2.0,4.0,43.0,6.0,15.0,2.0,84.0,2.0,11.0,10.0,78.0,9.0,44.0,13.0,9.0,4.0,24.0,6.0,5.0,16.0,74.0,42.0,60.0,14.0,31.0,1.0,1.0,2.0,63.0,2.0,18.0,21.0,13.0,38.0,0.0,2.0,20.0,2.0,5.0,3.0,47.0,9.0,14.0,43.0,12.0,4.0,10.0,1.0,2.0,1.0,10.0,1.0,4.0,11.0,22.0,100.0,11.0,18.0,19.0,3.0,2.0,6.0,16.0
6,7/27/14,0.0,6.0,51.0,4.0,69.0,2.0,4.0,43.0,8.0,14.0,1.0,88.0,2.0,11.0,9.0,80.0,9.0,44.0,14.0,9.0,4.0,25.0,6.0,5.0,14.0,75.0,44.0,62.0,13.0,32.0,1.0,1.0,2.0,64.0,2.0,23.0,23.0,20.0,46.0,1.0,3.0,22.0,7.0,7.0,4.0,56.0,8.0,18.0,41.0,13.0,3.0,16.0,1.0,1.0,1.0,19.0,2.0,13.0,17.0,13.0,12.0,20.0,18.0,20.0,1.0,4.0,2.0,20.0
7,8/3/14,0.0,6.0,50.0,4.0,68.0,2.0,4.0,43.0,8.0,13.0,1.0,89.0,2.0,11.0,9.0,77.0,9.0,44.0,13.0,9.0,4.0,23.0,6.0,5.0,13.0,72.0,43.0,59.0,12.0,32.0,1.0,1.0,2.0,61.0,2.0,26.0,21.0,12.0,56.0,2.0,4.0,19.0,7.0,5.0,3.0,63.0,15.0,21.0,31.0,11.0,2.0,12.0,2.0,1.0,1.0,22.0,1.0,5.0,21.0,5.0,11.0,17.0,16.0,27.0,0.0,3.0,4.0,11.0
8,8/10/14,0.0,6.0,50.0,4.0,65.0,2.0,4.0,43.0,7.0,13.0,2.0,88.0,2.0,11.0,8.0,73.0,10.0,43.0,13.0,9.0,3.0,22.0,5.0,5.0,15.0,67.0,63.0,57.0,12.0,30.0,1.0,1.0,2.0,56.0,3.0,17.0,21.0,7.0,45.0,1.0,3.0,17.0,3.0,5.0,4.0,55.0,6.0,9.0,16.0,11.0,3.0,14.0,1.0,1.0,1.0,9.0,1.0,12.0,14.0,14.0,15.0,13.0,12.0,16.0,0.0,5.0,5.0,14.0
9,8/17/14,0.0,5.0,50.0,4.0,63.0,2.0,4.0,42.0,7.0,13.0,2.0,85.0,2.0,11.0,8.0,75.0,9.0,43.0,13.0,9.0,3.0,23.0,6.0,5.0,14.0,74.0,50.0,56.0,12.0,30.0,1.0,1.0,2.0,54.0,2.0,20.0,25.0,11.0,40.0,1.0,14.0,24.0,5.0,7.0,6.0,50.0,5.0,23.0,24.0,11.0,3.0,10.0,1.0,1.0,1.0,9.0,1.0,4.0,17.0,19.0,14.0,15.0,13.0,15.0,0.0,2.0,2.0,15.0
10,8/24/14,0.0,6.0,50.0,4.0,59.0,2.0,4.0,38.0,7.0,13.0,3.0,83.0,2.0,11.0,8.0,76.0,11.0,42.0,14.0,9.0,3.0,22.0,6.0,8.0,16.0,72.0,50.0,55.0,12.0,29.0,1.0,2.0,2.0,55.0,6.0,12.0,17.0,13.0,40.0,3.0,3.0,18.0,4.0,4.0,5.0,53.0,6.0,17.0,16.0,12.0,3.0,10.0,1.0,1.0,0.0,10.0,1.0,4.0,4.0,19.0,16.0,11.0,15.0,17.0,0.0,2.0,10.0,19.0
11,8/31/14,0.0,5.0,51.0,4.0,60.0,2.0,4.0,37.0,5.0,13.0,3.0,84.0,2.0,11.0,8.0,74.0,12.0,47.0,14.0,9.0,3.0,22.0,8.0,10.0,17.0,76.0,49.0,57.0,12.0,29.0,1.0,2.0,1.0,51.0,4.0,7.0,19.0,9.0,41.0,1.0,3.0,14.0,2.0,3.0,4.0,68.0,6.0,14.0,22.0,11.0,3.0,16.0,2.0,1.0,0.0,12.0,1.0,6.0,8.0,18.0,15.0,12.0,18.0,18.0,0.0,2.0,2.0,21.0
12,9/7/14,1.0,6.0,52.0,5.0,56.0,3.0,5.0,35.0,6.0,16.0,3.0,80.0,2.0,12.0,8.0,74.0,13.0,47.0,16.0,9.0,3.0,22.0,8.0,11.0,17.0,86.0,53.0,55.0,12.0,27.0,1.0,2.0,2.0,58.0,0.0,16.0,28.0,13.0,34.0,3.0,2.0,16.0,4.0,5.0,7.0,58.0,7.0,16.0,18.0,13.0,4.0,17.0,2.0,1.0,1.0,11.0,1.0,6.0,15.0,19.0,12.0,13.0,17.0,16.0,0.0,3.0,2.0,20.0
13,9/14/14,1.0,6.0,54.0,5.0,57.0,3.0,5.0,36.0,6.0,16.0,3.0,82.0,2.0,12.0,8.0,74.0,13.0,47.0,17.0,10.0,3.0,22.0,9.0,14.0,17.0,86.0,62.0,56.0,14.0,27.0,1.0,2.0,2.0,56.0,5.0,16.0,28.0,16.0,39.0,1.0,8.0,17.0,3.0,3.0,6.0,57.0,9.0,26.0,16.0,11.0,4.0,15.0,2.0,2.0,2.0,6.0,1.0,4.0,12.0,37.0,19.0,17.0,22.0,14.0,0.0,3.0,3.0,17.0
14,9/21/14,1.0,6.0,55.0,5.0,58.0,3.0,5.0,37.0,7.0,16.0,3.0,81.0,2.0,13.0,8.0,72.0,13.0,49.0,16.0,9.0,3.0,22.0,8.0,16.0,17.0,88.0,61.0,55.0,14.0,27.0,1.0,2.0,2.0,57.0,4.0,11.0,22.0,19.0,41.0,1.0,5.0,16.0,5.0,10.0,10.0,60.0,8.0,28.0,19.0,11.0,4.0,15.0,1.0,2.0,1.0,7.0,1.0,4.0,24.0,36.0,21.0,10.0,48.0,19.0,1.0,7.0,2.0,19.0
15,9/28/14,1.0,6.0,53.0,5.0,56.0,3.0,5.0,36.0,8.0,16.0,3.0,84.0,2.0,13.0,8.0,72.0,14.0,66.0,17.0,10.0,3.0,23.0,8.0,17.0,17.0,87.0,58.0,55.0,13.0,26.0,1.0,2.0,2.0,56.0,3.0,14.0,24.0,21.0,37.0,1.0,2.0,21.0,8.0,5.0,10.0,52.0,6.0,26.0,24.0,8.0,4.0,34.0,1.0,2.0,1.0,8.0,1.0,4.0,18.0,24.0,18.0,15.0,21.0,17.0,1.0,0.0,5.0,24.0
16,10/5/14,1.0,6.0,53.0,5.0,58.0,2.0,5.0,35.0,10.0,16.0,3.0,79.0,2.0,13.0,8.0,70.0,13.0,63.0,17.0,10.0,3.0,35.0,8.0,17.0,17.0,90.0,57.0,55.0,13.0,28.0,1.0,2.0,2.0,58.0,4.0,14.0,25.0,18.0,44.0,2.0,3.0,16.0,11.0,5.0,11.0,50.0,5.0,13.0,14.0,8.0,3.0,34.0,2.0,1.0,0.0,57.0,1.0,4.0,17.0,17.0,15.0,14.0,26.0,24.0,2.0,2.0,2.0,14.0
17,10/12/14,1.0,6.0,53.0,6.0,57.0,3.0,5.0,34.0,16.0,17.0,3.0,81.0,2.0,13.0,8.0,74.0,12.0,58.0,17.0,9.0,4.0,28.0,8.0,17.0,18.0,87.0,55.0,55.0,12.0,32.0,1.0,2.0,2.0,57.0,3.0,12.0,26.0,27.0,41.0,1.0,17.0,17.0,15.0,4.0,10.0,66.0,14.0,15.0,13.0,11.0,4.0,31.0,2.0,1.0,1.0,25.0,1.0,0.0,17.0,19.0,20.0,12.0,25.0,17.0,0.0,2.0,2.0,16.0
18,10/19/14,1.0,6.0,52.0,5.0,58.0,3.0,5.0,35.0,11.0,15.0,3.0,80.0,2.0,14.0,8.0,73.0,13.0,55.0,17.0,10.0,3.0,24.0,8.0,17.0,17.0,95.0,56.0,55.0,12.0,26.0,1.0,2.0,2.0,56.0,4.0,14.0,24.0,13.0,32.0,2.0,10.0,14.0,7.0,5.0,8.0,64.0,7.0,21.0,21.0,9.0,3.0,19.0,2.0,2.0,0.0,13.0,1.0,4.0,8.0,20.0,20.0,10.0,15.0,16.0,2.0,3.0,3.0,20.0
19,10/26/14,1.0,6.0,53.0,5.0,53.0,3.0,6.0,36.0,11.0,16.0,3.0,80.0,2.0,13.0,8.0,72.0,13.0,50.0,17.0,10.0,3.0,23.0,9.0,15.0,17.0,97.0,56.0,55.0,12.0,26.0,1.0,2.0,2.0,56.0,3.0,11.0,19.0,19.0,37.0,2.0,3.0,20.0,6.0,4.0,10.0,54.0,8.0,24.0,17.0,13.0,4.0,19.0,1.0,1.0,1.0,10.0,1.0,0.0,10.0,18.0,23.0,20.0,16.0,13.0,1.0,2.0,4.0,10.0
20,11/2/14,1.0,7.0,52.0,5.0,58.0,3.0,5.0,35.0,9.0,15.0,3.0,84.0,2.0,13.0,8.0,73.0,13.0,49.0,17.0,10.0,3.0,25.0,8.0,14.0,16.0,96.0,56.0,55.0,12.0,29.0,1.0,2.0,2.0,56.0,3.0,11.0,21.0,15.0,41.0,2.0,3.0,12.0,7.0,5.0,4.0,50.0,7.0,24.0,12.0,12.0,2.0,16.0,2.0,1.0,1.0,22.0,1.0,0.0,13.0,42.0,21.0,12.0,13.0,19.0,1.0,0.0,3.0,18.0
21,11/9/14,1.0,6.0,52.0,5.0,59.0,3.0,5.0,34.0,8.0,15.0,3.0,83.0,2.0,13.0,8.0,71.0,12.0,47.0,17.0,10.0,3.0,23.0,8.0,13.0,15.0,95.0,54.0,57.0,12.0,35.0,1.0,2.0,2.0,55.0,3.0,15.0,25.0,12.0,36.0,1.0,5.0,17.0,6.0,7.0,9.0,52.0,7.0,22.0,10.0,12.0,3.0,16.0,1.0,1.0,1.0,16.0,1.0,4.0,14.0,22.0,23.0,14.0,14.0,22.0,1.0,4.0,4.0,27.0
22,11/16/14,1.0,7.0,51.0,5.0,56.0,3.0,5.0,34.0,8.0,15.0,3.0,82.0,2.0,13.0,8.0,75.0,13.0,46.0,16.0,10.0,3.0,24.0,8.0,14.0,16.0,97.0,55.0,62.0,12.0,28.0,1.0,2.0,2.0,55.0,7.0,18.0,25.0,12.0,38.0,4.0,8.0,12.0,3.0,5.0,5.0,54.0,5.0,22.0,20.0,13.0,3.0,15.0,1.0,1.0,1.0,13.0,0.0,4.0,10.0,20.0,22.0,16.0,13.0,14.0,1.0,2.0,2.0,13.0
23,11/23/14,1.0,5.0,48.0,4.0,54.0,2.0,5.0,26.0,6.0,10.0,2.0,76.0,2.0,12.0,7.0,70.0,11.0,36.0,13.0,7.0,2.0,19.0,6.0,8.0,13.0,71.0,46.0,67.0,11.0,28.0,1.0,1.0,1.0,39.0,0.0,15.0,29.0,10.0,44.0,1.0,3.0,10.0,2.0,2.0,4.0,53.0,5.0,15.0,13.0,8.0,2.0,10.0,2.0,1.0,1.0,8.0,1.0,4.0,6.0,23.0,17.0,12.0,12.0,12.0,3.0,4.0,0.0,11.0
24,11/30/14,1.0,7.0,52.0,5.0,52.0,3.0,6.0,34.0,8.0,14.0,3.0,86.0,2.0,13.0,9.0,77.0,13.0,43.0,17.0,10.0,3.0,21.0,9.0,12.0,15.0,92.0,56.0,65.0,12.0,29.0,1.0,2.0,2.0,56.0,3.0,21.0,34.0,14.0,30.0,1.0,5.0,17.0,4.0,5.0,5.0,58.0,6.0,13.0,14.0,14.0,3.0,12.0,2.0,1.0,1.0,7.0,1.0,4.0,14.0,18.0,21.0,14.0,15.0,15.0,0.0,2.0,3.0,14.0
25,12/7/14,1.0,7.0,53.0,5.0,56.0,3.0,6.0,32.0,9.0,15.0,3.0,83.0,2.0,14.0,9.0,77.0,14.0,44.0,17.0,9.0,3.0,21.0,9.0,16.0,15.0,92.0,55.0,69.0,15.0,27.0,1.0,2.0,3.0,53.0,4.0,19.0,32.0,18.0,40.0,2.0,9.0,14.0,8.0,5.0,7.0,47.0,9.0,12.0,17.0,13.0,3.0,17.0,2.0,1.0,0.0,7.0,1.0,0.0,10.0,23.0,25.0,14.0,14.0,19.0,1.0,2.0,8.0,15.0
26,12/14/14,1.0,6.0,52.0,6.0,59.0,3.0,5.0,31.0,12.0,14.0,3.0,84.0,2.0,14.0,9.0,76.0,13.0,40.0,15.0,9.0,3.0,20.0,9.0,13.0,13.0,79.0,49.0,68.0,24.0,29.0,1.0,2.0,2.0,50.0,4.0,12.0,29.0,28.0,39.0,1.0,12.0,20.0,10.0,8.0,5.0,76.0,6.0,21.0,10.0,12.0,2.0,11.0,1.0,2.0,1.0,7.0,1.0,5.0,20.0,20.0,19.0,15.0,19.0,20.0,0.0,2.0,4.0,6.0
27,12/21/14,0.0,4.0,46.0,5.0,67.0,2.0,3.0,24.0,9.0,8.0,1.0,80.0,2.0,13.0,8.0,73.0,10.0,34.0,10.0,6.0,2.0,18.0,5.0,3.0,12.0,49.0,39.0,76.0,19.0,33.0,1.0,1.0,2.0,36.0,3.0,10.0,30.0,11.0,47.0,2.0,0.0,10.0,4.0,3.0,2.0,47.0,9.0,20.0,7.0,10.0,1.0,10.0,2.0,1.0,1.0,7.0,1.0,5.0,21.0,8.0,17.0,10.0,10.0,32.0,0.0,3.0,0.0,14.0
28,12/28/14,0.0,5.0,48.0,5.0,73.0,2.0,3.0,30.0,7.0,10.0,1.0,88.0,2.0,14.0,9.0,78.0,9.0,37.0,11.0,7.0,2.0,22.0,5.0,3.0,14.0,58.0,42.0,71.0,18.0,29.0,1.0,1.0,1.0,42.0,3.0,12.0,20.0,9.0,43.0,2.0,4.0,14.0,3.0,4.0,6.0,59.0,6.0,24.0,13.0,9.0,1.0,14.0,1.0,1.0,0.0,9.0,1.0,5.0,19.0,12.0,12.0,12.0,12.0,20.0,0.0,0.0,2.0,7.0
29,1/4/15,1.0,6.0,51.0,6.0,58.0,2.0,4.0,40.0,12.0,14.0,2.0,86.0,2.0,16.0,11.0,79.0,12.0,53.0,15.0,9.0,4.0,25.0,7.0,8.0,17.0,76.0,48.0,61.0,15.0,29.0,1.0,2.0,2.0,57.0,4.0,8.0,33.0,17.0,36.0,3.0,5.0,27.0,8.0,5.0,12.0,53.0,5.0,21.0,18.0,10.0,4.0,19.0,2.0,1.0,4.0,21.0,1.0,4.0,15.0,28.0,20.0,15.0,19.0,15.0,1.0,6.0,4.0,16.0
30,1/11/15,1.0,6.0,53.0,6.0,63.0,3.0,5.0,40.0,10.0,16.0,3.0,87.0,2.0,16.0,10.0,77.0,13.0,43.0,16.0,9.0,3.0,24.0,7.0,10.0,16.0,82.0,50.0,61.0,14.0,27.0,1.0,2.0,2.0,59.0,4.0,12.0,26.0,18.0,35.0,2.0,11.0,17.0,6.0,5.0,9.0,61.0,3.0,23.0,11.0,12.0,3.0,11.0,2.0,2.0,1.0,14.0,1.0,9.0,30.0,13.0,9.0,15.0,24.0,18.0,0.0,2.0,6.0,21.0
31,1/18/15,1.0,7.0,54.0,5.0,66.0,3.0,6.0,38.0,8.0,17.0,3.0,85.0,2.0,17.0,10.0,76.0,11.0,43.0,16.0,9.0,3.0,23.0,8.0,11.0,16.0,82.0,51.0,64.0,14.0,39.0,1.0,2.0,2.0,59.0,4.0,17.0,15.0,14.0,53.0,3.0,7.0,17.0,7.0,8.0,8.0,50.0,9.0,25.0,11.0,10.0,2.0,14.0,6.0,2.0,1.0,8.0,1.0,4.0,11.0,22.0,13.0,18.0,23.0,51.0,0.0,2.0,5.0,22.0
32,1/25/15,1.0,7.0,53.0,6.0,59.0,3.0,5.0,39.0,10.0,21.0,3.0,86.0,2.0,19.0,10.0,81.0,12.0,43.0,16.0,10.0,3.0,22.0,8.0,12.0,17.0,89.0,53.0,64.0,13.0,32.0,1.0,2.0,2.0,57.0,1.0,19.0,26.0,16.0,29.0,3.0,4.0,13.0,7.0,8.0,9.0,55.0,6.0,22.0,14.0,10.0,4.0,11.0,3.0,1.0,1.0,13.0,1.0,4.0,13.0,24.0,24.0,15.0,23.0,56.0,2.0,4.0,5.0,15.0
33,2/1/15,1.0,7.0,53.0,6.0,58.0,3.0,5.0,39.0,10.0,22.0,3.0,90.0,2.0,19.0,10.0,78.0,13.0,45.0,17.0,10.0,3.0,23.0,9.0,12.0,17.0,92.0,54.0,66.0,13.0,27.0,1.0,2.0,2.0,59.0,3.0,19.0,23.0,16.0,32.0,2.0,2.0,14.0,7.0,10.0,8.0,54.0,4.0,23.0,14.0,12.0,3.0,29.0,2.0,1.0,1.0,9.0,1.0,4.0,15.0,37.0,20.0,16.0,12.0,20.0,0.0,5.0,3.0,22.0
34,2/8/15,1.0,7.0,53.0,6.0,70.0,3.0,5.0,37.0,9.0,23.0,3.0,88.0,2.0,18.0,9.0,77.0,12.0,42.0,17.0,10.0,3.0,26.0,8.0,13.0,17.0,88.0,55.0,65.0,13.0,29.0,1.0,3.0,2.0,57.0,4.0,26.0,24.0,16.0,40.0,2.0,4.0,16.0,3.0,9.0,7.0,49.0,4.0,16.0,13.0,15.0,3.0,14.0,2.0,2.0,1.0,20.0,1.0,4.0,7.0,25.0,17.0,15.0,13.0,18.0,1.0,5.0,3.0,19.0
35,2/15/15,1.0,7.0,53.0,5.0,65.0,3.0,5.0,36.0,8.0,22.0,3.0,86.0,2.0,17.0,9.0,76.0,12.0,45.0,16.0,10.0,3.0,24.0,7.0,13.0,17.0,85.0,49.0,65.0,13.0,33.0,1.0,2.0,2.0,52.0,3.0,20.0,28.0,21.0,34.0,4.0,3.0,19.0,6.0,5.0,12.0,57.0,7.0,21.0,10.0,12.0,4.0,15.0,1.0,1.0,1.0,14.0,1.0,0.0,14.0,37.0,22.0,14.0,20.0,37.0,0.0,3.0,2.0,11.0
36,2/22/15,1.0,7.0,100.0,6.0,62.0,3.0,6.0,40.0,8.0,23.0,3.0,85.0,2.0,16.0,8.0,75.0,12.0,45.0,17.0,10.0,3.0,23.0,8.0,14.0,16.0,90.0,51.0,60.0,13.0,26.0,1.0,2.0,2.0,56.0,3.0,19.0,100.0,16.0,35.0,3.0,2.0,20.0,5.0,5.0,4.0,44.0,5.0,20.0,9.0,12.0,2.0,13.0,3.0,2.0,1.0,9.0,1.0,8.0,17.0,23.0,13.0,13.0,21.0,19.0,0.0,2.0,5.0,10.0
37,3/1/15,1.0,7.0,71.0,6.0,62.0,3.0,6.0,40.0,9.0,23.0,3.0,87.0,2.0,16.0,9.0,76.0,12.0,46.0,17.0,10.0,3.0,23.0,8.0,13.0,16.0,88.0,51.0,60.0,13.0,26.0,1.0,2.0,2.0,54.0,0.0,23.0,52.0,15.0,36.0,3.0,7.0,19.0,6.0,5.0,10.0,54.0,8.0,20.0,13.0,9.0,3.0,16.0,2.0,2.0,0.0,26.0,1.0,0.0,13.0,22.0,15.0,9.0,24.0,15.0,0.0,4.0,2.0,27.0
38,3/8/15,1.0,7.0,58.0,5.0,64.0,3.0,5.0,40.0,10.0,22.0,3.0,86.0,2.0,15.0,8.0,76.0,11.0,45.0,16.0,10.0,3.0,22.0,7.0,11.0,16.0,87.0,51.0,58.0,12.0,27.0,1.0,2.0,2.0,57.0,4.0,19.0,31.0,18.0,31.0,4.0,2.0,18.0,6.0,5.0,6.0,70.0,5.0,20.0,12.0,9.0,3.0,16.0,1.0,2.0,1.0,9.0,1.0,0.0,15.0,21.0,13.0,16.0,26.0,22.0,0.0,9.0,0.0,15.0
39,3/15/15,1.0,6.0,57.0,5.0,62.0,3.0,6.0,41.0,10.0,21.0,3.0,84.0,2.0,15.0,8.0,77.0,12.0,44.0,16.0,10.0,3.0,23.0,7.0,11.0,17.0,86.0,50.0,58.0,11.0,34.0,1.0,2.0,2.0,58.0,4.0,27.0,28.0,16.0,35.0,3.0,6.0,21.0,3.0,8.0,9.0,52.0,6.0,18.0,8.0,11.0,3.0,10.0,4.0,2.0,1.0,9.0,1.0,4.0,27.0,24.0,11.0,11.0,14.0,21.0,1.0,8.0,2.0,17.0
40,3/22/15,1.0,7.0,56.0,5.0,62.0,3.0,6.0,41.0,9.0,20.0,3.0,83.0,2.0,15.0,8.0,78.0,13.0,45.0,16.0,10.0,3.0,22.0,7.0,10.0,17.0,88.0,51.0,61.0,11.0,31.0,1.0,2.0,2.0,58.0,2.0,14.0,30.0,13.0,41.0,7.0,9.0,16.0,3.0,6.0,4.0,52.0,12.0,13.0,8.0,12.0,4.0,17.0,3.0,2.0,1.0,6.0,1.0,0.0,20.0,15.0,15.0,17.0,15.0,18.0,2.0,7.0,2.0,29.0
