Date,recession,debt,color,stocks,restaurant,portfolio,inflation,housing,dow jones,revenue,economics,credit,markets,return,unemployment,money,religion,cancer,growth,investment,hedge,marriage,bonds,derivatives,headlines,profit,society,ring,wall street,banks,greed,bribery,insider trading,bankruptcy,recession,debt,color,stocks,restaurant,portfolio,inflation,housing,dow jones,revenue,economics,credit,markets,return,unemployment,money,religion,cancer,growth,investment,hedge,marriage,bonds,derivatives,headlines,profit,society,ring,wall street,banks,greed,bribery,insider trading,bankruptcy,Datetimes
6/15/14,0,6,48,4,62,2,4,40,6,14,1,80,2,11,10,76,8,47,13,9,3,23,6,5,14,71,46,60,14,35,1,2,3,57,3,26,30,8,42,3,10,20,3,10,5,53,7,15,62,13,3,13,1,1,1,10,1,5,14,27,15,12,23,34,3,10,10,18,6/15/14
6/22/14,0,6,49,4,62,2,4,40,6,14,1,81,2,11,10,78,8,46,14,9,4,26,6,5,13,71,43,59,14,31,1,2,2,60,1,16,30,15,38,1,3,18,1,7,3,62,6,14,58,11,2,13,1,1,0,25,1,4,13,17,14,14,22,18,1,9,2,16,6/22/14
6/29/14,0,5,48,4,64,2,4,38,6,12,1,82,2,11,10,84,9,42,13,8,3,23,6,5,14,68,41,57,13,37,1,2,2,53,5,17,21,11,34,2,3,17,6,7,3,55,12,18,47,12,2,11,1,1,1,11,1,5,16,25,9,15,18,36,1,4,0,10,6/29/14
7/6/14,0,6,49,4,64,2,4,42,6,14,1,85,2,11,10,80,9,43,14,9,3,24,6,6,15,75,44,57,14,32,1,2,3,61,1,15,23,13,41,3,3,17,3,6,3,48,4,17,56,10,2,12,1,1,1,9,1,4,14,19,10,11,19,22,0,4,4,20,7/6/14
7/13/14,0,6,52,4,68,2,4,42,7,15,1,86,2,11,10,78,9,46,14,9,4,24,6,6,14,72,44,59,14,31,1,1,2,62,2,21,15,15,36,1,6,17,6,5,5,50,5,15,44,12,2,11,1,1,1,10,1,4,6,11,39,9,23,15,3,4,6,14,7/13/14
7/20/14,0,6,51,4,70,2,4,43,6,15,2,84,2,11,10,78,9,44,13,9,4,24,6,5,16,74,42,60,14,31,1,1,2,63,2,18,21,13,38,0,2,20,2,5,3,47,9,14,43,12,4,10,1,2,1,10,1,4,11,22,100,11,18,19,3,2,6,16,7/20/14
7/27/14,0,6,51,4,69,2,4,43,8,14,1,88,2,11,9,80,9,44,14,9,4,25,6,5,14,75,44,62,13,32,1,1,2,64,2,23,23,20,46,1,3,22,7,7,4,56,8,18,41,13,3,16,1,1,1,19,2,13,17,13,12,20,18,20,1,4,2,20,7/27/14
8/3/14,0,6,50,4,68,2,4,43,8,13,1,89,2,11,9,77,9,44,13,9,4,23,6,5,13,72,43,59,12,32,1,1,2,61,2,26,21,12,56,2,4,19,7,5,3,63,15,21,31,11,2,12,2,1,1,22,1,5,21,5,11,17,16,27,0,3,4,11,8/3/14
8/10/14,0,6,50,4,65,2,4,43,7,13,2,88,2,11,8,73,10,43,13,9,3,22,5,5,15,67,63,57,12,30,1,1,2,56,3,17,21,7,45,1,3,17,3,5,4,55,6,9,16,11,3,14,1,1,1,9,1,12,14,14,15,13,12,16,0,5,5,14,8/10/14
8/17/14,0,5,50,4,63,2,4,42,7,13,2,85,2,11,8,75,9,43,13,9,3,23,6,5,14,74,50,56,12,30,1,1,2,54,2,20,25,11,40,1,14,24,5,7,6,50,5,23,24,11,3,10,1,1,1,9,1,4,17,19,14,15,13,15,0,2,2,15,8/17/14
8/24/14,0,6,50,4,59,2,4,38,7,13,3,83,2,11,8,76,11,42,14,9,3,22,6,8,16,72,50,55,12,29,1,2,2,55,6,12,17,13,40,3,3,18,4,4,5,53,6,17,16,12,3,10,1,1,0,10,1,4,4,19,16,11,15,17,0,2,10,19,8/24/14
8/31/14,0,5,51,4,60,2,4,37,5,13,3,84,2,11,8,74,12,47,14,9,3,22,8,10,17,76,49,57,12,29,1,2,1,51,4,7,19,9,41,1,3,14,2,3,4,68,6,14,22,11,3,16,2,1,0,12,1,6,8,18,15,12,18,18,0,2,2,21,8/31/14
9/7/14,1,6,52,5,56,3,5,35,6,16,3,80,2,12,8,74,13,47,16,9,3,22,8,11,17,86,53,55,12,27,1,2,2,58,0,16,28,13,34,3,2,16,4,5,7,58,7,16,18,13,4,17,2,1,1,11,1,6,15,19,12,13,17,16,0,3,2,20,9/7/14
9/14/14,1,6,54,5,57,3,5,36,6,16,3,82,2,12,8,74,13,47,17,10,3,22,9,14,17,86,62,56,14,27,1,2,2,56,5,16,28,16,39,1,8,17,3,3,6,57,9,26,16,11,4,15,2,2,2,6,1,4,12,37,19,17,22,14,0,3,3,17,9/14/14
9/21/14,1,6,55,5,58,3,5,37,7,16,3,81,2,13,8,72,13,49,16,9,3,22,8,16,17,88,61,55,14,27,1,2,2,57,4,11,22,19,41,1,5,16,5,10,10,60,8,28,19,11,4,15,1,2,1,7,1,4,24,36,21,10,48,19,1,7,2,19,9/21/14
9/28/14,1,6,53,5,56,3,5,36,8,16,3,84,2,13,8,72,14,66,17,10,3,23,8,17,17,87,58,55,13,26,1,2,2,56,3,14,24,21,37,1,2,21,8,5,10,52,6,26,24,8,4,34,1,2,1,8,1,4,18,24,18,15,21,17,1,0,5,24,9/28/14
10/5/14,1,6,53,5,58,2,5,35,10,16,3,79,2,13,8,70,13,63,17,10,3,35,8,17,17,90,57,55,13,28,1,2,2,58,4,14,25,18,44,2,3,16,11,5,11,50,5,13,14,8,3,34,2,1,0,57,1,4,17,17,15,14,26,24,2,2,2,14,10/5/14
10/12/14,1,6,53,6,57,3,5,34,16,17,3,81,2,13,8,74,12,58,17,9,4,28,8,17,18,87,55,55,12,32,1,2,2,57,3,12,26,27,41,1,17,17,15,4,10,66,14,15,13,11,4,31,2,1,1,25,1,0,17,19,20,12,25,17,0,2,2,16,10/12/14
10/19/14,1,6,52,5,58,3,5,35,11,15,3,80,2,14,8,73,13,55,17,10,3,24,8,17,17,95,56,55,12,26,1,2,2,56,4,14,24,13,32,2,10,14,7,5,8,64,7,21,21,9,3,19,2,2,0,13,1,4,8,20,20,10,15,16,2,3,3,20,10/19/14
10/26/14,1,6,53,5,53,3,6,36,11,16,3,80,2,13,8,72,13,50,17,10,3,23,9,15,17,97,56,55,12,26,1,2,2,56,3,11,19,19,37,2,3,20,6,4,10,54,8,24,17,13,4,19,1,1,1,10,1,0,10,18,23,20,16,13,1,2,4,10,10/26/14
11/2/14,1,7,52,5,58,3,5,35,9,15,3,84,2,13,8,73,13,49,17,10,3,25,8,14,16,96,56,55,12,29,1,2,2,56,3,11,21,15,41,2,3,12,7,5,4,50,7,24,12,12,2,16,2,1,1,22,1,0,13,42,21,12,13,19,1,0,3,18,11/2/14
11/9/14,1,6,52,5,59,3,5,34,8,15,3,83,2,13,8,71,12,47,17,10,3,23,8,13,15,95,54,57,12,35,1,2,2,55,3,15,25,12,36,1,5,17,6,7,9,52,7,22,10,12,3,16,1,1,1,16,1,4,14,22,23,14,14,22,1,4,4,27,11/9/14
11/16/14,1,7,51,5,56,3,5,34,8,15,3,82,2,13,8,75,13,46,16,10,3,24,8,14,16,97,55,62,12,28,1,2,2,55,7,18,25,12,38,4,8,12,3,5,5,54,5,22,20,13,3,15,1,1,1,13,0,4,10,20,22,16,13,14,1,2,2,13,11/16/14
11/23/14,1,5,48,4,54,2,5,26,6,10,2,76,2,12,7,70,11,36,13,7,2,19,6,8,13,71,46,67,11,28,1,1,1,39,0,15,29,10,44,1,3,10,2,2,4,53,5,15,13,8,2,10,2,1,1,8,1,4,6,23,17,12,12,12,3,4,0,11,11/23/14
11/30/14,1,7,52,5,52,3,6,34,8,14,3,86,2,13,9,77,13,43,17,10,3,21,9,12,15,92,56,65,12,29,1,2,2,56,3,21,34,14,30,1,5,17,4,5,5,58,6,13,14,14,3,12,2,1,1,7,1,4,14,18,21,14,15,15,0,2,3,14,11/30/14
12/7/14,1,7,53,5,56,3,6,32,9,15,3,83,2,14,9,77,14,44,17,9,3,21,9,16,15,92,55,69,15,27,1,2,3,53,4,19,32,18,40,2,9,14,8,5,7,47,9,12,17,13,3,17,2,1,0,7,1,0,10,23,25,14,14,19,1,2,8,15,12/7/14
12/14/14,1,6,52,6,59,3,5,31,12,14,3,84,2,14,9,76,13,40,15,9,3,20,9,13,13,79,49,68,24,29,1,2,2,50,4,12,29,28,39,1,12,20,10,8,5,76,6,21,10,12,2,11,1,2,1,7,1,5,20,20,19,15,19,20,0,2,4,6,12/14/14
12/21/14,0,4,46,5,67,2,3,24,9,8,1,80,2,13,8,73,10,34,10,6,2,18,5,3,12,49,39,76,19,33,1,1,2,36,3,10,30,11,47,2,0,10,4,3,2,47,9,20,7,10,1,10,2,1,1,7,1,5,21,8,17,10,10,32,0,3,0,14,12/21/14
12/28/14,0,5,48,5,73,2,3,30,7,10,1,88,2,14,9,78,9,37,11,7,2,22,5,3,14,58,42,71,18,29,1,1,1,42,3,12,20,9,43,2,4,14,3,4,6,59,6,24,13,9,1,14,1,1,0,9,1,5,19,12,12,12,12,20,0,0,2,7,12/28/14
1/4/15,1,6,51,6,58,2,4,40,12,14,2,86,2,16,11,79,12,53,15,9,4,25,7,8,17,76,48,61,15,29,1,2,2,57,4,8,33,17,36,3,5,27,8,5,12,53,5,21,18,10,4,19,2,1,4,21,1,4,15,28,20,15,19,15,1,6,4,16,1/4/15
1/11/15,1,6,53,6,63,3,5,40,10,16,3,87,2,16,10,77,13,43,16,9,3,24,7,10,16,82,50,61,14,27,1,2,2,59,4,12,26,18,35,2,11,17,6,5,9,61,3,23,11,12,3,11,2,2,1,14,1,9,30,13,9,15,24,18,0,2,6,21,1/11/15
1/18/15,1,7,54,5,66,3,6,38,8,17,3,85,2,17,10,76,11,43,16,9,3,23,8,11,16,82,51,64,14,39,1,2,2,59,4,17,15,14,53,3,7,17,7,8,8,50,9,25,11,10,2,14,6,2,1,8,1,4,11,22,13,18,23,51,0,2,5,22,1/18/15
1/25/15,1,7,53,6,59,3,5,39,10,21,3,86,2,19,10,81,12,43,16,10,3,22,8,12,17,89,53,64,13,32,1,2,2,57,1,19,26,16,29,3,4,13,7,8,9,55,6,22,14,10,4,11,3,1,1,13,1,4,13,24,24,15,23,56,2,4,5,15,1/25/15
2/1/15,1,7,53,6,58,3,5,39,10,22,3,90,2,19,10,78,13,45,17,10,3,23,9,12,17,92,54,66,13,27,1,2,2,59,3,19,23,16,32,2,2,14,7,10,8,54,4,23,14,12,3,29,2,1,1,9,1,4,15,37,20,16,12,20,0,5,3,22,2/1/15
2/8/15,1,7,53,6,70,3,5,37,9,23,3,88,2,18,9,77,12,42,17,10,3,26,8,13,17,88,55,65,13,29,1,3,2,57,4,26,24,16,40,2,4,16,3,9,7,49,4,16,13,15,3,14,2,2,1,20,1,4,7,25,17,15,13,18,1,5,3,19,2/8/15
2/15/15,1,7,53,5,65,3,5,36,8,22,3,86,2,17,9,76,12,45,16,10,3,24,7,13,17,85,49,65,13,33,1,2,2,52,3,20,28,21,34,4,3,19,6,5,12,57,7,21,10,12,4,15,1,1,1,14,1,0,14,37,22,14,20,37,0,3,2,11,2/15/15
2/22/15,1,7,100,6,62,3,6,40,8,23,3,85,2,16,8,75,12,45,17,10,3,23,8,14,16,90,51,60,13,26,1,2,2,56,3,19,100,16,35,3,2,20,5,5,4,44,5,20,9,12,2,13,3,2,1,9,1,8,17,23,13,13,21,19,0,2,5,10,2/22/15
3/1/15,1,7,71,6,62,3,6,40,9,23,3,87,2,16,9,76,12,46,17,10,3,23,8,13,16,88,51,60,13,26,1,2,2,54,0,23,52,15,36,3,7,19,6,5,10,54,8,20,13,9,3,16,2,2,0,26,1,0,13,22,15,9,24,15,0,4,2,27,3/1/15
3/8/15,1,7,58,5,64,3,5,40,10,22,3,86,2,15,8,76,11,45,16,10,3,22,7,11,16,87,51,58,12,27,1,2,2,57,4,19,31,18,31,4,2,18,6,5,6,70,5,20,12,9,3,16,1,2,1,9,1,0,15,21,13,16,26,22,0,9,0,15,3/8/15
3/15/15,1,6,57,5,62,3,6,41,10,21,3,84,2,15,8,77,12,44,16,10,3,23,7,11,17,86,50,58,11,34,1,2,2,58,4,27,28,16,35,3,6,21,3,8,9,52,6,18,8,11,3,10,4,2,1,9,1,4,27,24,11,11,14,21,1,8,2,17,3/15/15
3/22/15,1,7,56,5,62,3,6,41,9,20,3,83,2,15,8,78,13,45,16,10,3,22,7,10,17,88,51,61,11,31,1,2,2,58,2,14,30,13,41,7,9,16,3,6,4,52,12,13,8,12,4,17,3,2,1,6,1,0,20,15,15,17,15,18,2,7,2,29,3/22/15
3/29/15,1,6,57,5,62,3,5,43,9,21,3,90,2,15,8,77,14,50,16,10,3,23,7,10,16,86,48,59,12,33,1,2,2,55,2,21,17,15,45,3,2,23,1,5,9,46,9,25,15,10,4,20,1,2,0,6,1,0,14,23,12,14,18,17,1,0,0,13,3/29/15
4/5/15,1,6,56,5,59,3,5,44,9,23,3,87,2,16,8,77,13,47,16,10,3,23,7,10,16,88,48,59,11,28,1,2,2,55,2,17,25,15,38,2,6,22,5,6,6,45,7,18,10,13,5,14,2,2,1,8,1,5,24,24,13,15,21,23,1,4,2,17,4/5/15
4/12/15,1,7,57,5,59,3,6,44,9,30,3,90,2,20,8,82,12,48,18,10,3,23,8,10,17,94,51,60,11,27,1,2,2,57,2,19,22,14,36,2,8,24,4,8,9,50,7,18,9,15,4,14,2,2,1,7,1,12,33,30,15,15,22,10,0,2,2,25,4/12/15
4/19/15,1,7,57,5,61,3,6,44,9,19,3,84,2,13,8,79,12,49,18,10,4,24,8,11,16,97,51,60,11,27,1,2,2,57,3,14,31,16,32,4,7,22,2,4,9,49,9,15,11,11,5,15,2,2,1,9,2,9,18,21,15,24,22,21,1,6,3,16,4/19/15
4/26/15,1,7,56,5,58,3,6,45,8,19,3,84,2,12,8,79,12,45,18,10,4,30,8,11,16,91,51,61,11,27,1,2,2,52,4,17,32,15,28,2,2,20,5,9,25,47,7,15,8,12,4,13,2,2,1,45,1,4,11,35,11,21,20,13,1,2,2,17,4/26/15
5/3/15,1,7,57,5,65,3,6,44,8,17,3,89,2,12,8,83,12,46,17,10,4,24,8,12,18,89,49,62,10,28,1,1,2,54,2,24,19,15,37,2,4,19,4,8,6,43,6,12,12,15,3,17,2,2,1,9,1,7,26,43,12,18,16,16,0,6,3,17,5/3/15
5/10/15,1,6,55,5,63,3,6,42,8,16,3,87,2,12,7,78,11,48,16,10,3,22,7,9,18,88,49,59,10,29,1,2,2,54,4,14,17,17,32,1,3,19,5,6,8,44,8,19,8,14,6,18,2,2,1,9,1,8,15,25,37,21,14,16,0,2,2,22,5/10/15
5/17/15,1,6,55,4,61,2,5,41,8,15,2,88,2,12,7,78,11,47,16,9,4,26,7,7,18,83,47,57,10,31,1,2,2,51,7,17,34,17,40,3,10,28,2,3,7,56,6,22,16,11,4,21,2,2,1,30,1,15,20,26,38,20,14,27,3,4,2,15,5/17/15
5/24/15,1,5,54,4,61,2,5,39,7,14,2,83,2,12,7,75,10,44,15,9,4,27,6,6,15,77,46,60,10,31,1,3,2,52,9,24,25,11,37,3,5,19,4,8,12,52,6,18,9,10,4,17,1,2,1,17,1,5,19,19,19,16,16,20,0,6,7,14,5/24/15
5/31/15,0,6,54,4,62,2,4,42,8,15,2,88,2,12,8,78,10,48,14,9,4,25,6,7,16,78,45,59,11,30,1,2,2,57,4,21,18,15,32,2,4,19,5,9,5,55,10,19,8,11,3,21,2,2,1,10,1,0,11,16,21,16,20,17,2,4,4,25,5/31/15
6/7/15,0,6,53,4,63,2,4,42,9,15,2,90,2,12,7,77,9,48,14,9,4,24,7,8,17,80,45,59,11,30,1,2,2,58,4,37,18,12,26,2,3,25,5,8,3,44,13,26,12,12,3,13,2,2,0,10,1,5,11,21,33,7,25,6,2,2,5,11,6/7/15
6/14/15,0,6,53,4,63,2,4,40,9,15,1,91,2,11,7,80,8,45,14,9,4,24,6,6,14,78,44,63,11,32,1,2,1,65,7,30,14,9,27,1,9,16,6,8,4,44,9,15,10,14,3,14,2,1,1,11,1,5,31,13,18,16,25,30,0,2,4,20,6/14/15
6/21/15,0,6,54,4,68,2,4,42,9,14,1,91,2,12,7,80,9,46,14,9,4,100,6,6,14,78,42,59,11,31,1,1,2,62,3,38,23,15,36,1,3,27,6,5,6,50,5,13,8,10,3,12,2,2,0,100,1,10,21,18,8,7,19,13,0,5,2,17,6/21/15
6/28/15,0,9,54,5,66,2,4,41,14,13,1,96,3,11,8,90,10,44,13,8,4,61,6,5,15,77,42,62,11,44,1,1,2,59,7,64,22,25,35,2,1,22,16,4,5,48,9,19,17,14,3,12,2,2,1,67,2,17,14,22,14,15,18,62,0,0,2,22,6/28/15
7/5/15,0,9,54,5,66,2,4,44,16,15,1,98,3,12,8,85,8,45,14,9,4,30,6,5,16,80,42,59,15,32,1,1,2,61,6,49,17,24,39,2,4,28,16,6,5,53,29,19,8,14,4,16,1,1,1,18,1,5,13,19,6,9,54,25,2,2,4,22,7/5/15
7/12/15,0,7,56,4,71,2,4,44,12,15,1,94,2,12,8,81,8,47,16,9,4,25,6,6,15,82,42,89,11,32,1,1,1,100,2,50,17,16,41,4,12,22,6,4,6,54,10,14,9,14,3,17,2,2,0,10,2,5,8,44,9,26,19,27,0,4,5,41,7/12/15
7/19/15,0,7,53,5,73,2,5,44,10,15,1,90,2,12,8,81,8,46,14,10,4,25,6,6,15,83,43,65,11,34,1,2,2,73,6,30,16,20,53,4,3,22,7,6,6,68,16,18,12,13,2,15,2,2,1,8,3,6,14,36,16,14,12,30,2,2,2,28,7/19/15
7/26/15,0,6,54,4,74,2,4,45,11,15,1,92,2,11,8,80,8,45,14,9,3,23,6,5,17,81,43,64,11,33,1,1,2,66,3,18,15,23,41,4,2,20,6,9,5,66,11,19,9,12,4,17,2,2,1,6,1,0,27,16,18,11,17,11,2,7,5,21,7/26/15
8/2/15,0,7,54,5,71,2,4,46,10,14,1,95,2,12,8,80,8,44,13,9,4,23,6,5,15,78,43,62,10,33,1,2,2,66,4,15,24,24,33,1,2,18,6,4,6,64,12,22,9,13,2,11,2,1,1,5,1,5,13,11,11,18,18,19,0,6,2,31,8/2/15
8/9/15,0,6,54,5,69,2,4,45,12,14,2,90,2,12,8,77,8,45,13,9,3,22,6,5,15,74,44,60,11,31,1,1,3,65,4,24,15,14,42,2,6,22,6,7,3,59,12,23,9,10,2,12,2,2,1,8,1,0,8,16,13,11,16,25,0,10,2,24,8/9/15
8/16/15,1,6,54,5,67,2,4,45,16,14,2,91,2,12,7,80,10,48,13,9,4,22,6,5,16,74,43,61,11,30,1,2,1,60,5,17,25,26,39,1,14,21,13,7,4,58,14,21,15,12,3,16,2,2,1,7,1,5,40,27,5,19,25,16,0,5,5,31,8/16/15
8/23/15,1,6,54,9,63,3,4,42,59,13,3,87,4,12,7,79,11,46,15,9,4,21,7,8,17,74,47,60,14,30,1,1,3,62,5,16,25,50,40,0,7,22,65,5,6,51,34,29,10,12,3,19,2,2,1,6,1,5,18,15,8,14,38,29,3,2,5,13,8/23/15
8/30/15,1,6,56,5,60,2,5,38,29,14,3,88,3,13,8,81,12,48,16,9,4,27,8,10,17,79,49,58,12,28,1,2,2,57,7,21,23,27,38,2,4,25,24,5,7,55,20,17,13,9,3,16,2,2,1,50,1,0,30,23,15,8,22,20,3,2,2,13,8/30/15
9/6/15,1,6,56,5,62,2,5,36,19,14,3,82,2,12,7,75,13,46,16,8,4,26,8,11,17,78,47,60,11,29,1,2,2,56,6,16,26,23,42,2,7,16,8,5,8,42,14,25,18,11,3,16,2,2,1,21,1,0,15,10,25,16,18,18,0,2,2,20,9/6/15
9/13/15,1,7,59,5,59,2,5,37,19,17,3,84,2,13,7,78,14,51,17,9,4,23,9,14,18,88,53,60,12,31,1,2,2,65,5,23,26,17,41,4,9,19,13,3,8,63,8,23,11,11,5,15,2,2,1,13,1,0,15,22,14,11,22,31,0,4,2,31,9/13/15
9/20/15,1,7,58,5,59,2,5,37,17,16,3,81,2,13,7,77,17,54,17,9,5,22,9,17,17,89,50,60,11,32,2,2,2,58,6,20,27,26,39,3,4,24,15,6,11,54,18,20,6,11,3,15,3,2,1,7,1,5,37,32,19,19,20,24,1,3,2,18,9/20/15
9/27/15,1,7,56,5,56,2,5,37,16,16,3,86,2,14,7,75,16,61,17,10,4,21,8,19,19,89,52,58,11,28,1,2,2,56,5,23,30,19,31,3,1,20,17,5,11,66,16,24,12,12,9,45,2,2,1,5,1,7,9,35,14,15,24,30,0,4,6,24,9/27/15
10/4/15,1,7,59,5,58,2,5,37,14,16,3,84,2,14,7,72,14,61,17,10,4,21,9,19,20,90,51,59,10,29,1,2,6,59,2,30,22,17,40,4,2,20,11,7,11,68,18,27,11,10,5,29,2,2,1,4,1,0,22,22,16,16,24,21,1,7,6,21,10/4/15
10/11/15,1,7,58,5,60,3,6,36,12,17,3,85,2,14,7,72,13,61,17,10,4,20,8,17,20,92,49,60,11,33,1,2,2,57,4,33,26,24,39,2,13,22,10,8,11,48,9,25,9,9,4,36,2,2,1,3,1,0,42,25,17,13,20,33,3,2,7,20,10/11/15
10/18/15,1,7,56,5,59,2,5,37,11,16,3,79,2,14,7,72,13,59,18,10,3,20,8,18,18,92,50,58,11,25,1,2,3,55,3,44,20,20,46,2,2,29,8,6,8,74,11,31,8,13,3,26,2,2,1,4,1,0,17,24,26,22,27,18,1,4,5,22,10/18/15
10/25/15,1,8,56,5,55,3,6,34,10,16,3,81,2,14,7,72,14,60,17,10,3,20,8,17,19,94,50,61,11,26,1,3,2,54,4,40,31,17,43,3,5,19,11,7,5,62,11,24,12,13,4,100,4,2,1,5,1,5,14,28,17,19,22,25,1,3,7,17,10/25/15
11/1/15,1,8,55,5,59,3,6,37,10,15,3,87,2,15,7,75,14,52,18,10,3,21,9,14,18,96,53,60,11,28,2,2,2,56,3,25,25,13,40,1,4,18,4,7,10,47,9,30,11,15,4,26,2,2,1,5,1,5,23,34,19,16,12,19,2,2,2,27,11/1/15
11/8/15,1,7,60,5,59,3,6,35,10,15,3,84,2,14,7,74,15,51,18,10,3,19,9,14,21,94,50,62,11,35,2,2,2,53,4,20,31,17,41,3,5,22,4,8,5,63,6,24,10,10,4,16,2,2,1,4,1,4,16,18,12,16,15,23,0,0,4,23,11/8/15
11/15/15,1,7,58,5,55,3,6,35,10,15,3,80,2,14,7,72,18,48,17,10,3,19,9,13,19,92,49,63,11,29,2,2,2,52,3,15,32,14,39,2,8,17,4,5,5,45,12,25,13,9,6,12,2,1,1,4,1,4,17,23,11,21,17,26,1,2,2,14,11/15/15
11/22/15,0,5,53,4,54,2,5,27,7,10,2,78,2,13,6,68,13,43,13,7,3,17,6,7,15,68,40,70,9,28,1,1,2,39,2,17,37,11,40,2,4,17,5,4,5,53,11,27,7,10,3,12,2,2,1,3,1,0,20,20,12,13,14,25,0,2,3,12,11/22/15
11/29/15,1,7,57,5,52,3,6,35,8,15,3,88,2,15,8,76,16,46,17,9,3,19,9,12,19,95,50,71,11,27,2,2,2,52,8,23,28,13,31,2,2,23,6,5,10,51,12,29,11,14,5,14,2,2,1,4,2,0,13,18,19,23,24,14,0,4,2,28,11/29/15
12/6/15,1,7,57,5,56,3,6,34,9,15,3,82,2,16,8,76,18,47,17,10,3,19,9,15,16,97,51,70,10,27,2,2,2,51,4,19,36,19,31,3,4,18,5,6,12,62,13,31,14,12,5,16,2,2,1,4,1,0,34,20,19,17,20,21,1,2,0,17,12/6/15
12/13/15,1,6,55,5,59,2,6,32,11,14,3,84,2,18,8,79,15,46,16,9,3,18,9,13,16,83,47,74,10,27,1,2,2,50,6,13,37,23,43,1,11,19,9,4,8,77,10,29,10,12,4,17,1,3,1,3,2,0,21,17,22,17,24,22,1,4,10,24,12/13/15
12/20/15,0,5,52,4,66,2,4,25,8,9,1,79,2,16,7,76,12,38,11,6,3,17,5,4,13,60,38,81,9,28,1,1,1,37,0,22,25,18,55,0,3,22,5,6,3,57,7,21,10,11,2,13,2,2,1,6,1,0,20,17,24,23,10,19,2,3,0,14,12/20/15
12/27/15,0,5,53,4,80,2,4,30,7,10,1,89,2,16,8,81,9,41,12,7,3,20,5,3,14,61,39,73,10,30,1,1,1,45,4,14,28,17,51,3,3,16,6,6,4,54,2,25,6,10,3,18,1,1,1,4,1,0,8,28,23,17,17,17,0,2,0,17,12/27/15
1/3/16,1,7,55,6,70,2,4,41,22,13,2,91,2,17,10,87,11,47,16,10,3,21,8,8,16,80,43,66,10,27,1,1,2,65,6,22,30,31,44,2,4,23,20,5,4,49,20,31,13,10,4,17,2,2,1,3,2,7,19,37,18,20,23,13,1,2,3,24,1/3/16
1/10/16,1,7,55,6,70,2,5,39,23,14,3,84,2,16,10,90,11,72,16,9,4,20,9,9,17,85,43,62,10,28,1,2,1,64,14,24,22,29,37,3,3,23,19,9,6,68,15,22,16,14,2,36,1,2,2,3,2,4,26,31,19,17,24,19,1,3,2,27,1/10/16
1/17/16,1,7,56,6,72,2,5,39,25,16,3,82,3,18,10,84,12,49,16,9,3,20,8,10,17,86,45,71,11,30,1,2,2,61,10,20,25,37,36,3,9,22,23,8,5,57,22,31,13,12,4,12,2,2,1,5,1,9,9,25,14,15,22,19,0,3,5,24,1/17/16
